Date_ID,Year,Month,Day
200842,1971,4,29
200843,1971,4,30
200844,1971,4,30
200845,1971,5,1
200846,1971,5,2
200847,1971,5,4
200848,1971,5,4
200849,1971,5,4
200850,1971,5,4
200851,1971,5,4
200852,1971,5,5
200853,1971,5,5
200854,1971,5,5
200855,1971,5,5
200856,1971,5,5
200857,1971,5,5
200858,1971,5,5
200859,1971,5,6
200860,1971,5,6
200861,1971,5,6
200862,1971,5,6
200863,1971,5,6
200864,1971,5,6
200865,1971,5,7
200866,1971,5,8
200867,1971,5,8
200868,1971,5,8
200869,1971,5,9
200870,1971,5,9
200871,1971,5,9
200872,1971,5,11
200873,1971,5,11
200874,1971,5,11
200875,1971,5,11
200876,1971,5,11
200877,1971,5,12
200878,1971,5,12
200879,1971,5,13
200880,1971,5,13
200881,1971,5,14
200882,1971,5,15
200883,1971,5,17
200884,1971,5,17
200885,1971,5,17
200886,1971,5,18
200887,1971,5,18
200888,1971,5,18
200889,1971,5,19
200890,1971,5,20
200891,1971,5,21
200892,1971,5,21
200893,1971,5,22
200894,1971,5,23
200895,1971,5,23
200896,1971,5,25
200897,1971,5,25
200898,1971,5,28
200899,1971,5,29
200900,1971,5,29
200901,1971,6,3
200902,1971,6,4
200903,1971,6,5
200904,1971,6,6
200905,1971,6,6
200906,1971,6,10
200907,1971,6,11
200908,1971,6,11
200909,1971,6,11
200910,1971,6,12
200911,1971,6,13
200912,1971,6,13
200913,1971,6,15
200914,1971,6,16
200915,1971,6,17
200916,1971,6,18
200917,1971,6,21
200918,1971,6,22
200919,1971,6,22
200920,1971,6,22
200921,1971,6,24
200922,1971,6,24
200923,1971,6,25
200924,1971,6,26
200925,1971,7,0
200926,1971,7,0
200927,1971,7,1
200928,1971,7,2
200929,1971,7,4
200930,1971,7,6
200931,1971,7,8
200932,1971,7,8
200933,1971,7,9
200934,1971,7,9
200935,1971,7,12
200936,1971,7,14
200937,1971,7,17
200938,1971,7,18
200939,1971,7,18
200940,1971,7,18
200941,1971,7,21
200942,1971,7,24
200943,1971,7,25
200944,1971,7,27
200945,1971,7,28
200946,1971,7,28
200947,1971,7,29
200948,1971,7,30
200949,1971,8,8
