Country_ID,Country_Name
362,West Germany (FRG)
96,Ireland
603,United Kingdom
30,Brazil
142,Netherlands
603,United Kingdom
362,West Germany (FRG)
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
217,United States
603,United Kingdom
603,United Kingdom
603,United Kingdom
60,Egypt
603,United Kingdom
362,West Germany (FRG)
603,United Kingdom
603,United Kingdom
92,India
185,Spain
603,United Kingdom
603,United Kingdom
217,United States
217,United States
217,United States
603,United Kingdom
185,Spain
603,United Kingdom
185,Spain
185,Spain
185,Spain
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
217,United States
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
217,United States
185,Spain
185,Spain
603,United Kingdom
603,United Kingdom
11,Argentina
603,United Kingdom
603,United Kingdom
209,Turkey
603,United Kingdom
160,Philippines
160,Philippines
603,United Kingdom
198,Sweden
217,United States
603,United Kingdom
603,United Kingdom
38,Canada
38,Canada
217,United States
603,United Kingdom
11,Argentina
603,United Kingdom
362,West Germany (FRG)
362,West Germany (FRG)
185,Spain
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
217,United States
603,United Kingdom
603,United Kingdom
94,Iran
603,United Kingdom
603,United Kingdom
362,West Germany (FRG)
603,United Kingdom
603,United Kingdom
185,Spain
209,Turkey
209,Turkey
185,Spain
198,Sweden
209,Turkey
209,Turkey
209,Turkey
362,West Germany (FRG)
603,United Kingdom
98,Italy
209,Turkey
15,Austria
217,United States
217,United States
362,West Germany (FRG)
603,United Kingdom
11,Argentina
11,Argentina
11,Argentina
11,Argentina
362,West Germany (FRG)
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
362,West Germany (FRG)
603,United Kingdom
217,United States
217,United States
603,United Kingdom
603,United Kingdom
185,Spain
185,Spain
362,West Germany (FRG)
217,United States
603,United Kingdom
217,United States
603,United Kingdom
217,United States
217,United States
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
217,United States
362,West Germany (FRG)
69,France
69,France
69,France
69,France
94,Iran
603,United Kingdom
217,United States
11,Argentina
603,United Kingdom
217,United States
603,United Kingdom
603,United Kingdom
603,United Kingdom
97,Israel
603,United Kingdom
603,United Kingdom
94,Iran
94,Iran
94,Iran
94,Iran
94,Iran
94,Iran
185,Spain
222,Venezuela
217,United States
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
11,Argentina
603,United Kingdom
96,Ireland
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
217,United States
362,West Germany (FRG)
428,South Vietnam
603,United Kingdom
603,United Kingdom
217,United States
603,United Kingdom
603,United Kingdom
160,Philippines
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
160,Philippines
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
362,West Germany (FRG)
362,West Germany (FRG)
362,West Germany (FRG)
362,West Germany (FRG)
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
45,Colombia
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
160,Philippines
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
218,Uruguay
603,United Kingdom
603,United Kingdom
603,United Kingdom
217,United States
603,United Kingdom
94,Iran
603,United Kingdom
603,United Kingdom
603,United Kingdom
98,Italy
603,United Kingdom
603,United Kingdom
603,United Kingdom
94,Iran
603,United Kingdom
603,United Kingdom
94,Iran
603,United Kingdom
603,United Kingdom
98,Italy
603,United Kingdom
603,United Kingdom
217,United States
217,United States
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
217,United States
217,United States
217,United States
603,United Kingdom
603,United Kingdom
603,United Kingdom
110,Lebanon
94,Iran
160,Philippines
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
185,Spain
78,Greece
69,France
603,United Kingdom
603,United Kingdom
603,United Kingdom
36,Cambodia
362,West Germany (FRG)
603,United Kingdom
603,United Kingdom
603,United Kingdom
21,Belgium
603,United Kingdom
603,United Kingdom
603,United Kingdom
217,United States
198,Sweden
14,Australia
603,United Kingdom
603,United Kingdom
603,United Kingdom
38,Canada
38,Canada
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
603,United Kingdom
69,France
69,France
